,accession,time,primarydoc,form,url
977,0001225208-20-003786,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003786/xslF345X03/doc4.xml
978,0001225208-20-003785,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003785/xslF345X03/doc4.xml
979,0001225208-20-003784,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003784/xslF345X03/doc4.xml
980,0001225208-20-003783,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003783/xslF345X03/doc4.xml
981,0001225208-20-003782,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003782/xslF345X03/doc4.xml
982,0000078003-20-000016,2020-02-28,a8-kcover227.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000016/a8-kcover227.htm
983,0001193125-20-052687,2020-02-27,d868641d425.htm,425,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520052687/d868641d425.htm
984,0001193125-20-052686,2020-02-27,d868639d425.htm,425,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520052686/d868639d425.htm
985,0000078003-20-000014,2020-02-27,pfe-12312019x10kshell.htm,10-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000014/pfe-12312019x10kshell.htm
986,0001225208-20-003503,2020-02-25,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003503/xslF345X03/doc4.xml
987,0001225208-20-003502,2020-02-25,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003502/xslF345X03/doc4.xml
988,0001225208-20-003501,2020-02-25,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003501/xslF345X03/doc4.xml
989,0001225208-20-003500,2020-02-25,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003500/xslF345X03/doc4.xml
990,0001225208-20-002409,2020-02-14,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820002409/xslF345X03/doc4.xml
991,0001225208-20-002408,2020-02-14,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820002408/xslF345X03/doc4.xml
992,0001225208-20-002407,2020-02-14,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820002407/xslF345X03/doc4.xml
993,0001225208-20-002406,2020-02-14,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820002406/xslF345X03/doc4.xml
994,0000078003-20-000011,2020-02-14,morphic_13gx3x.htm,SC 13G,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000011/morphic_13gx3x.htm
995,0000078003-20-000009,2020-02-14,springworks_13g.htm,SC 13G,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000009/springworks_13g.htm
996,0000093751-20-000394,2020-02-13,PfizerInc.txt,SC 13G,https://www.sec.gov/Archives/edgar/data/0000078003/000009375120000394/PfizerInc.txt
997,0001104659-20-018319,2020-02-12,tv01614-pfizerinc.htm,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000078003/000110465920018319/tv01614-pfizerinc.htm
998,0000078003-20-000006,2020-02-11,a8-kfeb11cover.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000006/a8-kfeb11cover.htm
999,0000834237-20-006073,2020-02-05,us7170811035_020520.txt,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000078003/000083423720006073/us7170811035_020520.txt
