,accession,time,primarydoc,form,url
94,0000320193-23-000097,2023-10-10,xslF345X05/wk-form4_1696977071.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000097/xslF345X05/wk-form4_1696977071.xml
95,0000320193-23-000096,2023-10-10,xslF345X05/wk-form4_1696977012.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000096/xslF345X05/wk-form4_1696977012.xml
96,0001958244-23-001819,2023-10-10,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195824423001819/xsl144X01/primary_doc.xml
97,0001958244-23-001817,2023-10-06,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195824423001817/xsl144X01/primary_doc.xml
98,0001973141-23-000238,2023-10-06,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314123000238/xsl144X01/primary_doc.xml
99,0000320193-23-000093,2023-10-03,xslF345X05/wk-form4_1696381746.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000093/xslF345X05/wk-form4_1696381746.xml
100,0000320193-23-000092,2023-10-03,xslF345X05/wk-form4_1696381688.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000092/xslF345X05/wk-form4_1696381688.xml
101,0000320193-23-000091,2023-10-03,xslF345X05/wk-form4_1696381604.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000091/xslF345X05/wk-form4_1696381604.xml
102,0000320193-23-000090,2023-10-03,xslF345X05/wk-form4_1696381514.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000090/xslF345X05/wk-form4_1696381514.xml
103,0000320193-23-000089,2023-10-03,xslF345X05/wk-form4_1696381457.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000089/xslF345X05/wk-form4_1696381457.xml
104,0000320193-23-000088,2023-10-03,xslF345X05/wk-form4_1696381345.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000088/xslF345X05/wk-form4_1696381345.xml
105,0001950047-23-004374,2023-10-03,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195004723004374/xsl144X01/primary_doc.xml
106,0001973141-23-000233,2023-10-03,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314123000233/xsl144X01/primary_doc.xml
107,0001959173-23-004170,2023-10-03,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195917323004170/xsl144X01/primary_doc.xml
108,0000320193-23-000081,2023-09-19,xslF345X05/wk-form4_1695162617.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000081/xslF345X05/wk-form4_1695162617.xml
109,0000320193-23-000079,2023-08-08,xslF345X05/wk-form4_1691533817.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000079/xslF345X05/wk-form4_1691533817.xml
110,0001973141-23-000171,2023-08-07,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314123000171/xsl144X01/primary_doc.xml
