Ticker,Name,Sector,Subsector,HQ,Added,CIK,Founded
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",3/3/20,1699150,1859
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",1/6/09,1020569,1951
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267,1995
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,749251,1979
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",2/28/86,49826,1912
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,1935
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",10/26/07,52988,1947
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",7/1/15,728535,1961
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",12/18/23,898293,1966
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",8/27/10,833444,1885
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",11/13/18,779152,1976
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,200406,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/06,1043604,1996
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",6/30/75,19617,2000 (1799 / 1871)
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",9/11/89,55067,1906
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",6/21/22,1418135,1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576,1825
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,1601046,2014 (1939)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/15,1637459,2015 (1869)
